__typename,dateString,countryCode,countryName,postingType,value
HiringLabNationalPosting,2020-04-22,US,United States,TOTAL,67.54
HiringLabNationalPosting,2020-04-23,US,United States,TOTAL,67.27
HiringLabNationalPosting,2020-04-24,US,United States,TOTAL,67.05
HiringLabNationalPosting,2020-04-25,US,United States,TOTAL,66.89
HiringLabNationalPosting,2020-04-26,US,United States,TOTAL,66.75
HiringLabNationalPosting,2020-04-27,US,United States,TOTAL,66.54
HiringLabNationalPosting,2020-04-28,US,United States,TOTAL,66.34
HiringLabNationalPosting,2020-04-29,US,United States,TOTAL,66.19
HiringLabNationalPosting,2020-04-30,US,United States,TOTAL,66.09
HiringLabNationalPosting,2020-05-01,US,United States,TOTAL,66.03
HiringLabNationalPosting,2020-05-02,US,United States,TOTAL,65.89
HiringLabNationalPosting,2020-05-03,US,United States,TOTAL,65.72
HiringLabNationalPosting,2020-05-04,US,United States,TOTAL,65.57
HiringLabNationalPosting,2020-05-05,US,United States,TOTAL,65.48
HiringLabNationalPosting,2020-05-06,US,United States,TOTAL,65.47
HiringLabNationalPosting,2020-05-07,US,United States,TOTAL,65.44
HiringLabNationalPosting,2020-05-08,US,United States,TOTAL,65.5
HiringLabNationalPosting,2020-05-09,US,United States,TOTAL,65.71
HiringLabNationalPosting,2020-05-10,US,United States,TOTAL,65.95
HiringLabNationalPosting,2020-05-11,US,United States,TOTAL,66.13
HiringLabNationalPosting,2020-05-12,US,United States,TOTAL,66.29
HiringLabNationalPosting,2020-05-13,US,United States,TOTAL,66.08
HiringLabNationalPosting,2020-05-14,US,United States,TOTAL,66.16
HiringLabNationalPosting,2020-05-15,US,United States,TOTAL,66.39
HiringLabNationalPosting,2020-05-16,US,United States,TOTAL,66.44
HiringLabNationalPosting,2020-05-17,US,United States,TOTAL,66.5
HiringLabNationalPosting,2020-05-18,US,United States,TOTAL,66.6
HiringLabNationalPosting,2020-05-19,US,United States,TOTAL,66.7
HiringLabNationalPosting,2020-05-20,US,United States,TOTAL,67.15
HiringLabNationalPosting,2020-05-21,US,United States,TOTAL,67.45
HiringLabNationalPosting,2020-05-22,US,United States,TOTAL,67.57
HiringLabNationalPosting,2020-05-23,US,United States,TOTAL,67.83
HiringLabNationalPosting,2020-05-24,US,United States,TOTAL,68.01
HiringLabNationalPosting,2020-05-25,US,United States,TOTAL,68.18
HiringLabNationalPosting,2020-05-26,US,United States,TOTAL,68.32
HiringLabNationalPosting,2020-05-27,US,United States,TOTAL,68.43
HiringLabNationalPosting,2020-05-28,US,United States,TOTAL,68.41
HiringLabNationalPosting,2020-05-29,US,United States,TOTAL,68.55
HiringLabNationalPosting,2020-05-30,US,United States,TOTAL,68.81
HiringLabNationalPosting,2020-05-31,US,United States,TOTAL,68.99
HiringLabNationalPosting,2020-06-01,US,United States,TOTAL,69.12
HiringLabNationalPosting,2020-06-02,US,United States,TOTAL,69.34
HiringLabNationalPosting,2020-06-03,US,United States,TOTAL,69.58
HiringLabNationalPosting,2020-06-04,US,United States,TOTAL,69.9
HiringLabNationalPosting,2020-06-05,US,United States,TOTAL,70.11
HiringLabNationalPosting,2020-06-06,US,United States,TOTAL,70.27
HiringLabNationalPosting,2020-06-07,US,United States,TOTAL,70.53
HiringLabNationalPosting,2020-06-08,US,United States,TOTAL,70.82
HiringLabNationalPosting,2020-06-09,US,United States,TOTAL,71.14
HiringLabNationalPosting,2020-06-10,US,United States,TOTAL,71.43
HiringLabNationalPosting,2020-06-11,US,United States,TOTAL,71.74
HiringLabNationalPosting,2020-06-12,US,United States,TOTAL,72.01
HiringLabNationalPosting,2020-06-13,US,United States,TOTAL,72.3
HiringLabNationalPosting,2020-06-14,US,United States,TOTAL,72.69
HiringLabNationalPosting,2020-06-15,US,United States,TOTAL,73.09
HiringLabNationalPosting,2020-06-16,US,United States,TOTAL,73.48
HiringLabNationalPosting,2020-06-17,US,United States,TOTAL,73.87
HiringLabNationalPosting,2020-06-18,US,United States,TOTAL,74.26
HiringLabNationalPosting,2020-06-19,US,United States,TOTAL,74.69
HiringLabNationalPosting,2020-06-20,US,United States,TOTAL,75.17
HiringLabNationalPosting,2020-06-21,US,United States,TOTAL,75.65
HiringLabNationalPosting,2020-06-22,US,United States,TOTAL,76.14
HiringLabNationalPosting,2020-06-23,US,United States,TOTAL,76.3
HiringLabNationalPosting,2020-06-24,US,United States,TOTAL,76.5
HiringLabNationalPosting,2020-06-25,US,United States,TOTAL,76.69
HiringLabNationalPosting,2020-06-26,US,United States,TOTAL,76.84
HiringLabNationalPosting,2020-06-27,US,United States,TOTAL,76.86
HiringLabNationalPosting,2020-06-28,US,United States,TOTAL,76.81
HiringLabNationalPosting,2020-06-29,US,United States,TOTAL,76.8
HiringLabNationalPosting,2020-06-30,US,United States,TOTAL,77.06
HiringLabNationalPosting,2020-07-01,US,United States,TOTAL,77.29
HiringLabNationalPosting,2020-07-02,US,United States,TOTAL,77.42
HiringLabNationalPosting,2020-07-03,US,United States,TOTAL,77.58
HiringLabNationalPosting,2020-07-04,US,United States,TOTAL,77.72
HiringLabNationalPosting,2020-07-05,US,United States,TOTAL,77.84
HiringLabNationalPosting,2020-07-06,US,United States,TOTAL,77.92
HiringLabNationalPosting,2020-07-07,US,United States,TOTAL,77.98
HiringLabNationalPosting,2020-07-08,US,United States,TOTAL,78.18
HiringLabNationalPosting,2020-07-09,US,United States,TOTAL,78.5
HiringLabNationalPosting,2020-07-10,US,United States,TOTAL,78.82
HiringLabNationalPosting,2020-07-11,US,United States,TOTAL,79.22
HiringLabNationalPosting,2020-07-12,US,United States,TOTAL,79.62
HiringLabNationalPosting,2020-07-13,US,United States,TOTAL,79.99
HiringLabNationalPosting,2020-07-14,US,United States,TOTAL,80.44
HiringLabNationalPosting,2020-07-15,US,United States,TOTAL,80.74
HiringLabNationalPosting,2020-07-16,US,United States,TOTAL,80.96
HiringLabNationalPosting,2020-07-17,US,United States,TOTAL,81.15
HiringLabNationalPosting,2020-07-18,US,United States,TOTAL,81.19
HiringLabNationalPosting,2020-07-19,US,United States,TOTAL,81.4
HiringLabNationalPosting,2020-07-20,US,United States,TOTAL,81.63
HiringLabNationalPosting,2020-07-21,US,United States,TOTAL,81.83
HiringLabNationalPosting,2020-07-22,US,United States,TOTAL,82.13
HiringLabNationalPosting,2020-07-23,US,United States,TOTAL,82.45
HiringLabNationalPosting,2020-07-24,US,United States,TOTAL,82.8
HiringLabNationalPosting,2020-07-25,US,United States,TOTAL,83.29
HiringLabNationalPosting,2020-07-26,US,United States,TOTAL,83.62
HiringLabNationalPosting,2020-07-27,US,United States,TOTAL,83.94
HiringLabNationalPosting,2020-07-28,US,United States,TOTAL,84.24
HiringLabNationalPosting,2020-07-29,US,United States,TOTAL,84.51
HiringLabNationalPosting,2020-07-30,US,United States,TOTAL,84.77
HiringLabNationalPosting,2020-07-31,US,United States,TOTAL,84.98
HiringLabNationalPosting,2020-08-01,US,United States,TOTAL,85.12
HiringLabNationalPosting,2020-08-02,US,United States,TOTAL,85.23
HiringLabNationalPosting,2020-08-03,US,United States,TOTAL,85.36
HiringLabNationalPosting,2020-08-04,US,United States,TOTAL,85.41
HiringLabNationalPosting,2020-08-05,US,United States,TOTAL,85.51
HiringLabNationalPosting,2020-08-06,US,United States,TOTAL,85.5
HiringLabNationalPosting,2020-08-07,US,United States,TOTAL,85.52
HiringLabNationalPosting,2020-08-08,US,United States,TOTAL,85.63
HiringLabNationalPosting,2020-08-09,US,United States,TOTAL,85.78
HiringLabNationalPosting,2020-08-10,US,United States,TOTAL,85.91
HiringLabNationalPosting,2020-08-11,US,United States,TOTAL,86.11
HiringLabNationalPosting,2020-08-12,US,United States,TOTAL,86.15
HiringLabNationalPosting,2020-08-13,US,United States,TOTAL,86.24
HiringLabNationalPosting,2020-08-14,US,United States,TOTAL,86.39
HiringLabNationalPosting,2020-08-15,US,United States,TOTAL,86.3
HiringLabNationalPosting,2020-08-16,US,United States,TOTAL,86.4
HiringLabNationalPosting,2020-08-17,US,United States,TOTAL,86.47
HiringLabNationalPosting,2020-08-18,US,United States,TOTAL,86.52
HiringLabNationalPosting,2020-08-19,US,United States,TOTAL,86.71
HiringLabNationalPosting,2020-08-20,US,United States,TOTAL,86.94
HiringLabNationalPosting,2020-08-21,US,United States,TOTAL,87.09
HiringLabNationalPosting,2020-08-22,US,United States,TOTAL,87.41
HiringLabNationalPosting,2020-08-23,US,United States,TOTAL,87.54
HiringLabNationalPosting,2020-08-24,US,United States,TOTAL,87.68
HiringLabNationalPosting,2020-08-25,US,United States,TOTAL,87.88
HiringLabNationalPosting,2020-08-26,US,United States,TOTAL,88.04
HiringLabNationalPosting,2020-08-27,US,United States,TOTAL,88.12
HiringLabNationalPosting,2020-08-28,US,United States,TOTAL,88.23
HiringLabNationalPosting,2020-08-29,US,United States,TOTAL,88.38
HiringLabNationalPosting,2020-08-30,US,United States,TOTAL,88.55
HiringLabNationalPosting,2020-08-31,US,United States,TOTAL,88.69
HiringLabNationalPosting,2020-09-01,US,United States,TOTAL,88.73
HiringLabNationalPosting,2020-09-02,US,United States,TOTAL,88.76
HiringLabNationalPosting,2020-09-03,US,United States,TOTAL,88.85
HiringLabNationalPosting,2020-09-04,US,United States,TOTAL,88.91
HiringLabNationalPosting,2020-09-05,US,United States,TOTAL,88.89
HiringLabNationalPosting,2020-09-06,US,United States,TOTAL,88.9
HiringLabNationalPosting,2020-09-07,US,United States,TOTAL,88.91
HiringLabNationalPosting,2020-09-08,US,United States,TOTAL,88.92
HiringLabNationalPosting,2020-09-09,US,United States,TOTAL,88.99
HiringLabNationalPosting,2020-09-10,US,United States,TOTAL,89.14
HiringLabNationalPosting,2020-09-11,US,United States,TOTAL,89.36
HiringLabNationalPosting,2020-09-12,US,United States,TOTAL,89.53
HiringLabNationalPosting,2020-09-13,US,United States,TOTAL,89.63
HiringLabNationalPosting,2020-09-14,US,United States,TOTAL,89.78
HiringLabNationalPosting,2020-09-15,US,United States,TOTAL,90.05
HiringLabNationalPosting,2020-09-16,US,United States,TOTAL,90.29
HiringLabNationalPosting,2020-09-17,US,United States,TOTAL,90.5
HiringLabNationalPosting,2020-09-18,US,United States,TOTAL,90.69
HiringLabNationalPosting,2020-09-19,US,United States,TOTAL,90.89
HiringLabNationalPosting,2020-09-20,US,United States,TOTAL,91.17
HiringLabNationalPosting,2020-09-21,US,United States,TOTAL,91.39
HiringLabNationalPosting,2020-09-22,US,United States,TOTAL,91.66
HiringLabNationalPosting,2020-09-23,US,United States,TOTAL,91.92
HiringLabNationalPosting,2020-09-24,US,United States,TOTAL,92.11
HiringLabNationalPosting,2020-09-25,US,United States,TOTAL,92.31
HiringLabNationalPosting,2020-09-26,US,United States,TOTAL,92.49
HiringLabNationalPosting,2020-09-27,US,United States,TOTAL,92.64
HiringLabNationalPosting,2020-09-28,US,United States,TOTAL,92.85
