__typename,dateString,countryCode,countryName,postingType,value
HiringLabNationalPosting,2020-04-22,US,United States,TOTAL,64.35
HiringLabNationalPosting,2020-04-23,US,United States,TOTAL,63.99
HiringLabNationalPosting,2020-04-24,US,United States,TOTAL,63.67
HiringLabNationalPosting,2020-04-25,US,United States,TOTAL,63.42
HiringLabNationalPosting,2020-04-26,US,United States,TOTAL,63.16
HiringLabNationalPosting,2020-04-27,US,United States,TOTAL,62.89
HiringLabNationalPosting,2020-04-28,US,United States,TOTAL,62.6
HiringLabNationalPosting,2020-04-29,US,United States,TOTAL,62.4
HiringLabNationalPosting,2020-04-30,US,United States,TOTAL,62.27
HiringLabNationalPosting,2020-05-01,US,United States,TOTAL,62.22
HiringLabNationalPosting,2020-05-02,US,United States,TOTAL,62.11
HiringLabNationalPosting,2020-05-03,US,United States,TOTAL,62.02
HiringLabNationalPosting,2020-05-04,US,United States,TOTAL,61.89
HiringLabNationalPosting,2020-05-05,US,United States,TOTAL,61.82
HiringLabNationalPosting,2020-05-06,US,United States,TOTAL,61.82
HiringLabNationalPosting,2020-05-07,US,United States,TOTAL,61.85
HiringLabNationalPosting,2020-05-08,US,United States,TOTAL,61.81
HiringLabNationalPosting,2020-05-09,US,United States,TOTAL,61.88
HiringLabNationalPosting,2020-05-10,US,United States,TOTAL,62.01
HiringLabNationalPosting,2020-05-11,US,United States,TOTAL,62.07
HiringLabNationalPosting,2020-05-12,US,United States,TOTAL,62.15
HiringLabNationalPosting,2020-05-13,US,United States,TOTAL,61.86
HiringLabNationalPosting,2020-05-14,US,United States,TOTAL,61.8
HiringLabNationalPosting,2020-05-15,US,United States,TOTAL,62.03
HiringLabNationalPosting,2020-05-16,US,United States,TOTAL,62.11
HiringLabNationalPosting,2020-05-17,US,United States,TOTAL,62.22
HiringLabNationalPosting,2020-05-18,US,United States,TOTAL,62.42
HiringLabNationalPosting,2020-05-19,US,United States,TOTAL,62.59
HiringLabNationalPosting,2020-05-20,US,United States,TOTAL,63.09
HiringLabNationalPosting,2020-05-21,US,United States,TOTAL,63.41
HiringLabNationalPosting,2020-05-22,US,United States,TOTAL,63.58
HiringLabNationalPosting,2020-05-23,US,United States,TOTAL,63.85
HiringLabNationalPosting,2020-05-24,US,United States,TOTAL,64.01
HiringLabNationalPosting,2020-05-25,US,United States,TOTAL,64.07
HiringLabNationalPosting,2020-05-26,US,United States,TOTAL,64.13
HiringLabNationalPosting,2020-05-27,US,United States,TOTAL,64.19
HiringLabNationalPosting,2020-05-28,US,United States,TOTAL,64.19
HiringLabNationalPosting,2020-05-29,US,United States,TOTAL,64.31
HiringLabNationalPosting,2020-05-30,US,United States,TOTAL,64.6
HiringLabNationalPosting,2020-05-31,US,United States,TOTAL,64.84
HiringLabNationalPosting,2020-06-01,US,United States,TOTAL,65.15
