,label,lag,mae,rmse,model_path
126,"Job Openings: Trade, transportation, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.168123351811248,1.1882399039735358,models_prophet/openings/prophet_Job_Openings_Trade_transportation_and_utilities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
127,"Job Openings: Trade, transportation, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.1670939380013317,1.1872370798642422,models_prophet/openings/prophet_Job_Openings_Trade_transportation_and_utilities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
128,"Job Openings: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.7530478497118374,1.7619893288530724,models_prophet/openings/prophet_Job_Openings_Transportation_warehousing_and_utilities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
129,"Job Openings: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.7763888118954922,1.785168436146629,models_prophet/openings/prophet_Job_Openings_Transportation_warehousing_and_utilities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
130,"Job Openings: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.8660613357381493,1.874289082414221,models_prophet/openings/prophet_Job_Openings_Transportation_warehousing_and_utilities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
131,"Job Openings: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.7373720575880942,1.7464242231079492,models_prophet/openings/prophet_Job_Openings_Transportation_warehousing_and_utilities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
132,"Job Openings: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.5193672066063304,1.5555335659110099,models_prophet/openings/prophet_Job_Openings_Wholesale_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
133,"Job Openings: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.5379569165089222,1.5736777477800437,models_prophet/openings/prophet_Job_Openings_Wholesale_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
134,"Job Openings: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.5314791982147433,1.567358058714163,models_prophet/openings/prophet_Job_Openings_Wholesale_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
135,"Job Openings: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.5246292004439568,1.5606747009954558,models_prophet/openings/prophet_Job_Openings_Wholesale_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
