__typename,dateString,countryCode,countryName,postingType,value,source_file,sectorName,sectorCode
HiringLabSectoralPosting,2020-04-12,US,United States,TOTAL,58.63,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-13,US,United States,TOTAL,58.14,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-14,US,United States,TOTAL,57.68,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-15,US,United States,TOTAL,57.07,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-16,US,United States,TOTAL,56.52,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-17,US,United States,TOTAL,56.05,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-18,US,United States,TOTAL,55.54,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-19,US,United States,TOTAL,55.03,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-20,US,United States,TOTAL,54.6,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-21,US,United States,TOTAL,54.23,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-22,US,United States,TOTAL,53.88,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-23,US,United States,TOTAL,53.6,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-24,US,United States,TOTAL,53.35,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-25,US,United States,TOTAL,53.19,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-26,US,United States,TOTAL,53.01,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-27,US,United States,TOTAL,52.77,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-28,US,United States,TOTAL,52.57,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-04-29,US,United States,TOTAL,52.43,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
