label,lag,mae,rmse,model_path
"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.4524374485015872,0.5007717421821661,models_xgb/openings/xgb_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.39654943148295113,0.47439507028191163,models_xgb/openings/xgb_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.44864575068155926,0.4731154499285502,models_xgb/openings/xgb_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.46303677558898926,0.49697637338926964,models_xgb/openings/xgb_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.47364171346028644,0.5287672102629426,models_xgb/openings/xgb_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.31023867925008136,0.34379086531498626,models_xgb/openings/xgb_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.26494143803914394,0.26926624815025235,models_xgb/openings/xgb_Job_Openings_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.4100154081980388,0.434771614919996,models_xgb/openings/xgb_Job_Openings_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.283275588353475,0.28815998726864644,models_xgb/openings/xgb_Job_Openings_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.376142168045044,0.412765808034003,models_xgb/openings/xgb_Job_Openings_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.9862885951995848,1.017972641486807,models_xgb/openings/xgb_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.8643761952718098,0.899522332623454,models_xgb/openings/xgb_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.8651669502258299,0.9048477564120992,models_xgb/openings/xgb_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
