Metric,Auto-ARIMA,XGBoost,Better Model
RMSE,0.06505724818492871,0.38819429462571087,Auto-ARIMA
MAE,0.04965005599364676,0.27122212727864553,Auto-ARIMA
MAPE (%),0.04549638294907202,0.2500587913528849,Auto-ARIMA
Direction Accuracy (%),82.02247191011236,53.93258426966292,Auto-ARIMA
