label,lag,mae,rmse,model_path
"Layoffs and Discharges: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.13901321044137624,0.1826426476660545,models_arima/layoffs/arima_Layoffs_and_Discharges_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.1228395901424787,0.18092143738253044,models_arima/layoffs/arima_Layoffs_and_Discharges_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.14193269075069856,0.18501123251138699,models_arima/layoffs/arima_Layoffs_and_Discharges_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.2054718646264049,0.22169550553619727,models_arima/layoffs/arima_Layoffs_and_Discharges_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.20936762052955174,0.22562298359306257,models_arima/layoffs/arima_Layoffs_and_Discharges_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.20762725194993248,0.2238639929720689,models_arima/layoffs/arima_Layoffs_and_Discharges_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.20723542871077427,0.22346553131917224,models_arima/layoffs/arima_Layoffs_and_Discharges_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.12033555364696896,0.13318715859977726,models_arima/layoffs/arima_Layoffs_and_Discharges_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.12001010276776804,0.13285809421002193,models_arima/layoffs/arima_Layoffs_and_Discharges_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.11966054976742961,0.13271863205552573,models_arima/layoffs/arima_Layoffs_and_Discharges_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.11941377250836788,0.13246347376238216,models_arima/layoffs/arima_Layoffs_and_Discharges_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.13404339010521737,0.1595279010176782,models_arima/layoffs/arima_Layoffs_and_Discharges_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.13421329202744578,0.15968861896789674,models_arima/layoffs/arima_Layoffs_and_Discharges_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.13438437709504766,0.15985050025124511,models_arima/layoffs/arima_Layoffs_and_Discharges_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.13322129242624317,0.1587498895347693,models_arima/layoffs/arima_Layoffs_and_Discharges_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.18333333333333338,0.22376478260233168,models_arima/layoffs/arima_Layoffs_and_Discharges_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
