__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-11,US,United States,engid,Industrial Engineering,TOTAL,100.4
HiringLabSectoralPosting,2020-02-11,US,United States,install,Installation & Maintenance,TOTAL,100.38
HiringLabSectoralPosting,2020-02-11,US,United States,legal,Legal,TOTAL,99.81
HiringLabSectoralPosting,2020-02-11,US,United States,management,Management,TOTAL,102.09
HiringLabSectoralPosting,2020-02-11,US,United States,marketing,Marketing,TOTAL,100.62
HiringLabSectoralPosting,2020-02-11,US,United States,transport,Logistic Support,TOTAL,98.76
HiringLabSectoralPosting,2020-02-11,US,United States,warehouse,Loading & Stocking,TOTAL,99.22
HiringLabSectoralPosting,2020-02-12,US,United States,engid,Industrial Engineering,TOTAL,100.46
HiringLabSectoralPosting,2020-02-12,US,United States,install,Installation & Maintenance,TOTAL,100.31
HiringLabSectoralPosting,2020-02-12,US,United States,legal,Legal,TOTAL,99.82
HiringLabSectoralPosting,2020-02-12,US,United States,management,Management,TOTAL,102.21
HiringLabSectoralPosting,2020-02-12,US,United States,marketing,Marketing,TOTAL,100.74
HiringLabSectoralPosting,2020-02-12,US,United States,transport,Logistic Support,TOTAL,98.6
HiringLabSectoralPosting,2020-02-12,US,United States,warehouse,Loading & Stocking,TOTAL,99.16
HiringLabSectoralPosting,2020-02-13,US,United States,engid,Industrial Engineering,TOTAL,100.49
HiringLabSectoralPosting,2020-02-13,US,United States,install,Installation & Maintenance,TOTAL,100.22
HiringLabSectoralPosting,2020-02-13,US,United States,legal,Legal,TOTAL,99.88
HiringLabSectoralPosting,2020-02-13,US,United States,management,Management,TOTAL,102.34
HiringLabSectoralPosting,2020-02-13,US,United States,marketing,Marketing,TOTAL,100.86
HiringLabSectoralPosting,2020-02-13,US,United States,transport,Logistic Support,TOTAL,98.49
HiringLabSectoralPosting,2020-02-13,US,United States,warehouse,Loading & Stocking,TOTAL,99.12
HiringLabSectoralPosting,2020-02-14,US,United States,engid,Industrial Engineering,TOTAL,100.48
HiringLabSectoralPosting,2020-02-14,US,United States,install,Installation & Maintenance,TOTAL,100.17
HiringLabSectoralPosting,2020-02-14,US,United States,legal,Legal,TOTAL,99.92
HiringLabSectoralPosting,2020-02-14,US,United States,management,Management,TOTAL,102.39
HiringLabSectoralPosting,2020-02-14,US,United States,marketing,Marketing,TOTAL,100.99
HiringLabSectoralPosting,2020-02-14,US,United States,transport,Logistic Support,TOTAL,98.5
HiringLabSectoralPosting,2020-02-14,US,United States,warehouse,Loading & Stocking,TOTAL,99.02
HiringLabSectoralPosting,2020-02-15,US,United States,engid,Industrial Engineering,TOTAL,100.44
HiringLabSectoralPosting,2020-02-15,US,United States,install,Installation & Maintenance,TOTAL,99.69
HiringLabSectoralPosting,2020-02-15,US,United States,legal,Legal,TOTAL,99.85
HiringLabSectoralPosting,2020-02-15,US,United States,management,Management,TOTAL,101.79
HiringLabSectoralPosting,2020-02-15,US,United States,marketing,Marketing,TOTAL,101.01
HiringLabSectoralPosting,2020-02-15,US,United States,transport,Logistic Support,TOTAL,98.43
HiringLabSectoralPosting,2020-02-15,US,United States,warehouse,Loading & Stocking,TOTAL,98.9
HiringLabSectoralPosting,2020-02-16,US,United States,engid,Industrial Engineering,TOTAL,100.54
HiringLabSectoralPosting,2020-02-16,US,United States,install,Installation & Maintenance,TOTAL,99.31
HiringLabSectoralPosting,2020-02-16,US,United States,legal,Legal,TOTAL,99.93
HiringLabSectoralPosting,2020-02-16,US,United States,management,Management,TOTAL,101.37
HiringLabSectoralPosting,2020-02-16,US,United States,marketing,Marketing,TOTAL,101.14
HiringLabSectoralPosting,2020-02-16,US,United States,transport,Logistic Support,TOTAL,98.37
HiringLabSectoralPosting,2020-02-16,US,United States,warehouse,Loading & Stocking,TOTAL,98.9
HiringLabSectoralPosting,2020-02-17,US,United States,engid,Industrial Engineering,TOTAL,100.6
HiringLabSectoralPosting,2020-02-17,US,United States,install,Installation & Maintenance,TOTAL,98.96
HiringLabSectoralPosting,2020-02-17,US,United States,legal,Legal,TOTAL,100
HiringLabSectoralPosting,2020-02-17,US,United States,management,Management,TOTAL,100.8
HiringLabSectoralPosting,2020-02-17,US,United States,marketing,Marketing,TOTAL,101.18
HiringLabSectoralPosting,2020-02-17,US,United States,transport,Logistic Support,TOTAL,98.48
HiringLabSectoralPosting,2020-02-17,US,United States,warehouse,Loading & Stocking,TOTAL,98.93
HiringLabSectoralPosting,2020-02-18,US,United States,engid,Industrial Engineering,TOTAL,100.6
HiringLabSectoralPosting,2020-02-18,US,United States,install,Installation & Maintenance,TOTAL,98.64
HiringLabSectoralPosting,2020-02-18,US,United States,legal,Legal,TOTAL,99.96
HiringLabSectoralPosting,2020-02-18,US,United States,management,Management,TOTAL,100.05
HiringLabSectoralPosting,2020-02-18,US,United States,marketing,Marketing,TOTAL,101.08
HiringLabSectoralPosting,2020-02-18,US,United States,transport,Logistic Support,TOTAL,98.25
HiringLabSectoralPosting,2020-02-18,US,United States,warehouse,Loading & Stocking,TOTAL,98.84
HiringLabSectoralPosting,2020-02-19,US,United States,engid,Industrial Engineering,TOTAL,100.49
HiringLabSectoralPosting,2020-02-19,US,United States,install,Installation & Maintenance,TOTAL,98.23
HiringLabSectoralPosting,2020-02-19,US,United States,legal,Legal,TOTAL,99.91
HiringLabSectoralPosting,2020-02-19,US,United States,management,Management,TOTAL,99.37
HiringLabSectoralPosting,2020-02-19,US,United States,marketing,Marketing,TOTAL,101.04
HiringLabSectoralPosting,2020-02-19,US,United States,transport,Logistic Support,TOTAL,98.19
HiringLabSectoralPosting,2020-02-19,US,United States,warehouse,Loading & Stocking,TOTAL,98.84
HiringLabSectoralPosting,2020-02-20,US,United States,engid,Industrial Engineering,TOTAL,100.46
HiringLabSectoralPosting,2020-02-20,US,United States,install,Installation & Maintenance,TOTAL,97.91
HiringLabSectoralPosting,2020-02-20,US,United States,legal,Legal,TOTAL,99.92
HiringLabSectoralPosting,2020-02-20,US,United States,management,Management,TOTAL,98.7
HiringLabSectoralPosting,2020-02-20,US,United States,marketing,Marketing,TOTAL,100.99
HiringLabSectoralPosting,2020-02-20,US,United States,transport,Logistic Support,TOTAL,98.21
HiringLabSectoralPosting,2020-02-20,US,United States,warehouse,Loading & Stocking,TOTAL,98.88
HiringLabSectoralPosting,2020-02-21,US,United States,engid,Industrial Engineering,TOTAL,100.42
HiringLabSectoralPosting,2020-02-21,US,United States,install,Installation & Maintenance,TOTAL,97.61
HiringLabSectoralPosting,2020-02-21,US,United States,legal,Legal,TOTAL,99.9
HiringLabSectoralPosting,2020-02-21,US,United States,management,Management,TOTAL,98.12
HiringLabSectoralPosting,2020-02-21,US,United States,marketing,Marketing,TOTAL,101
HiringLabSectoralPosting,2020-02-21,US,United States,transport,Logistic Support,TOTAL,98.19
HiringLabSectoralPosting,2020-02-21,US,United States,warehouse,Loading & Stocking,TOTAL,98.83
HiringLabSectoralPosting,2020-02-22,US,United States,engid,Industrial Engineering,TOTAL,100.26
HiringLabSectoralPosting,2020-02-22,US,United States,install,Installation & Maintenance,TOTAL,97.64
HiringLabSectoralPosting,2020-02-22,US,United States,legal,Legal,TOTAL,99.75
HiringLabSectoralPosting,2020-02-22,US,United States,management,Management,TOTAL,98.1
HiringLabSectoralPosting,2020-02-22,US,United States,marketing,Marketing,TOTAL,100.88
HiringLabSectoralPosting,2020-02-22,US,United States,transport,Logistic Support,TOTAL,97.88
HiringLabSectoralPosting,2020-02-22,US,United States,warehouse,Loading & Stocking,TOTAL,98.74
HiringLabSectoralPosting,2020-02-23,US,United States,engid,Industrial Engineering,TOTAL,100.22
HiringLabSectoralPosting,2020-02-23,US,United States,install,Installation & Maintenance,TOTAL,97.68
HiringLabSectoralPosting,2020-02-23,US,United States,legal,Legal,TOTAL,99.64
HiringLabSectoralPosting,2020-02-23,US,United States,management,Management,TOTAL,98.09
HiringLabSectoralPosting,2020-02-23,US,United States,marketing,Marketing,TOTAL,100.88
HiringLabSectoralPosting,2020-02-23,US,United States,transport,Logistic Support,TOTAL,97.94
HiringLabSectoralPosting,2020-02-23,US,United States,warehouse,Loading & Stocking,TOTAL,98.77
HiringLabSectoralPosting,2020-02-24,US,United States,engid,Industrial Engineering,TOTAL,100.09
HiringLabSectoralPosting,2020-02-24,US,United States,install,Installation & Maintenance,TOTAL,97.68
HiringLabSectoralPosting,2020-02-24,US,United States,legal,Legal,TOTAL,99.46
HiringLabSectoralPosting,2020-02-24,US,United States,management,Management,TOTAL,98.1
HiringLabSectoralPosting,2020-02-24,US,United States,marketing,Marketing,TOTAL,100.8
HiringLabSectoralPosting,2020-02-24,US,United States,transport,Logistic Support,TOTAL,97.72
HiringLabSectoralPosting,2020-02-24,US,United States,warehouse,Loading & Stocking,TOTAL,98.74
HiringLabSectoralPosting,2020-02-25,US,United States,engid,Industrial Engineering,TOTAL,100.18
HiringLabSectoralPosting,2020-02-25,US,United States,install,Installation & Maintenance,TOTAL,97.63
HiringLabSectoralPosting,2020-02-25,US,United States,legal,Legal,TOTAL,99.52
HiringLabSectoralPosting,2020-02-25,US,United States,management,Management,TOTAL,98.31
HiringLabSectoralPosting,2020-02-25,US,United States,marketing,Marketing,TOTAL,100.93
HiringLabSectoralPosting,2020-02-25,US,United States,transport,Logistic Support,TOTAL,97.74
HiringLabSectoralPosting,2020-02-25,US,United States,warehouse,Loading & Stocking,TOTAL,98.88
HiringLabSectoralPosting,2020-02-26,US,United States,engid,Industrial Engineering,TOTAL,100.29
HiringLabSectoralPosting,2020-02-26,US,United States,install,Installation & Maintenance,TOTAL,97.67
HiringLabSectoralPosting,2020-02-26,US,United States,legal,Legal,TOTAL,99.63
HiringLabSectoralPosting,2020-02-26,US,United States,management,Management,TOTAL,98.53
HiringLabSectoralPosting,2020-02-26,US,United States,marketing,Marketing,TOTAL,100.94
