,"Layoffs and Discharges: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (10 to 49 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (50 to 249 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (250 to 999 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1,000 to 4,999 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (5,000 or more employees)","Layoffs and Discharges: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Trade, transportation, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)"
201,1.2,1.4,1.4,1.1,1.6,1.5,1.1,0.5,1.0,2.9,0.9,0.7,1.0,1.0,0.6,1.1,1.2,1.5,0.5,0.3,1.1,2.1,0.7,0.9,0.6,2.1,5.0,1.6,1.2,0.5,0.3,0.5,0.3,0.6
202,1.2,1.4,1.6,1.3,1.4,1.5,1.3,0.4,1.6,2.6,0.8,0.7,1.1,1.0,0.5,1.2,0.9,1.4,0.9,0.8,1.2,2.0,0.7,1.3,0.7,2.1,4.2,1.7,1.8,0.5,0.3,0.5,0.5,0.5
203,1.2,1.3,1.9,1.1,1.3,1.4,1.2,0.4,1.8,2.4,0.9,0.7,1.3,1.3,0.6,1.5,1.3,0.9,0.6,0.5,0.8,1.6,0.8,1.1,0.7,2.0,4.0,1.6,1.4,0.4,0.4,0.5,0.4,0.5
204,1.2,1.3,1.3,1.3,1.3,1.3,1.2,0.5,1.6,1.9,0.9,0.8,1.0,1.2,0.7,1.2,1.8,1.5,0.6,0.4,0.9,1.8,0.8,1.3,0.7,1.7,2.7,1.5,1.7,0.6,0.3,0.6,0.6,0.6
205,1.3,1.5,1.5,1.6,1.5,1.5,1.2,0.3,1.2,2.4,0.9,0.8,0.9,1.3,0.8,1.5,1.6,1.4,0.8,0.7,1.0,1.9,0.8,1.2,0.7,2.4,3.9,2.2,1.3,0.5,0.3,0.5,0.5,0.5
206,1.2,1.3,1.1,1.4,1.3,1.5,1.3,0.3,1.0,2.5,0.9,0.8,1.1,1.1,0.7,1.2,1.2,1.3,0.5,0.4,0.6,2.1,0.7,1.0,0.7,2.0,4.2,1.6,1.0,0.5,0.4,0.5,0.5,0.5
207,1.2,1.3,2.0,1.1,1.4,1.3,0.9,0.4,1.2,2.5,0.9,0.7,1.2,1.2,0.5,1.4,1.2,1.3,0.5,0.4,0.8,2.1,0.9,1.1,0.9,1.9,4.8,1.3,0.6,0.5,0.3,0.5,0.5,0.6
208,1.2,1.3,1.1,1.3,1.4,1.5,1.2,0.6,1.3,2.2,0.9,0.9,1.1,1.3,0.8,1.4,1.4,1.2,0.7,0.6,1.0,1.6,0.7,0.9,0.7,1.9,4.5,1.4,1.4,0.4,0.3,0.4,0.5,0.4
209,1.2,1.3,1.4,1.2,1.4,1.5,1.2,0.5,1.5,2.3,0.9,0.8,1.1,1.1,0.4,1.2,1.4,1.1,0.7,0.6,1.0,2.0,0.7,0.9,0.6,2.0,4.2,1.7,1.6,0.4,0.2,0.5,0.4,0.5
210,1.2,1.4,1.1,1.2,1.6,1.6,1.4,0.5,2.0,2.4,0.9,0.8,1.0,1.2,0.6,1.3,1.3,1.3,0.7,0.6,1.0,2.1,0.8,0.9,0.8,1.8,5.0,1.3,1.4,0.4,0.2,0.5,0.4,0.5
211,1.2,1.3,1.2,1.4,1.4,1.3,1.2,0.5,1.9,2.2,0.9,0.8,1.1,1.1,0.6,1.3,1.3,1.0,0.5,0.4,0.6,1.9,0.8,1.5,0.7,2.1,5.0,1.6,1.5,0.6,0.4,0.6,0.5,0.6
212,1.2,1.3,1.3,1.3,1.5,1.5,1.2,0.5,1.9,2.2,0.9,0.8,1.1,1.4,0.6,1.7,1.3,1.3,0.5,0.4,0.7,1.9,0.7,1.2,0.6,1.8,3.9,1.4,1.4,0.5,0.2,0.5,0.5,0.6
213,1.2,1.3,1.6,1.3,1.3,1.3,1.1,0.4,1.9,2.3,0.8,0.7,0.9,1.3,0.7,1.4,1.4,1.3,0.6,0.6,0.5,1.8,0.7,1.0,0.6,1.9,3.6,1.6,1.4,0.5,0.2,0.6,0.6,0.5
214,1.2,1.3,1.3,1.3,1.4,1.4,1.2,0.4,1.3,1.9,1.1,1.0,1.1,1.3,0.9,1.3,1.5,0.8,0.5,0.5,0.7,2.0,0.7,0.8,0.7,2.0,3.5,1.7,1.3,0.5,0.3,0.5,0.5,0.5
215,1.3,1.4,1.4,1.5,1.5,1.7,1.1,0.6,1.5,2.6,0.9,0.8,1.2,1.4,0.9,1.4,1.6,1.0,0.7,0.6,1.0,2.1,0.8,1.3,0.7,2.0,4.1,1.7,1.4,0.5,0.2,0.5,0.6,0.4
216,1.2,1.4,1.0,1.4,1.5,1.7,1.1,0.6,1.3,2.1,0.9,0.7,1.3,1.3,0.9,1.5,1.4,1.4,0.6,0.6,0.7,2.2,0.7,1.1,0.6,1.8,3.5,1.5,1.6,0.4,0.3,0.5,0.5,0.5
217,1.1,1.2,1.1,1.3,1.2,1.5,1.2,0.5,1.8,2.5,0.7,0.6,1.0,1.1,0.8,1.2,1.3,1.4,0.6,0.5,1.1,1.7,0.8,1.2,0.7,1.6,3.1,1.4,1.0,0.6,0.4,0.6,0.4,0.9
218,1.2,1.3,1.0,1.0,1.5,1.7,1.1,0.6,1.9,2.4,0.8,0.7,1.0,1.1,0.7,1.2,1.5,1.3,0.7,0.4,1.5,1.9,0.8,1.2,0.7,1.6,3.4,1.3,1.1,0.6,0.2,0.6,0.6,0.7
219,1.1,1.2,0.9,1.4,1.3,1.4,1.1,0.5,1.7,2.2,0.9,0.9,1.0,1.1,0.6,1.2,1.5,1.3,0.4,0.3,0.5,1.9,0.7,1.0,0.6,1.7,2.4,1.6,0.9,0.5,0.2,0.5,0.4,0.6
220,1.3,1.5,1.5,1.4,1.6,1.4,1.3,0.6,1.7,3.2,0.9,0.8,1.1,1.3,0.7,1.4,1.4,1.3,0.5,0.5,0.7,2.3,0.8,1.1,0.7,2.0,3.2,1.8,1.0,0.5,0.2,0.5,0.5,0.5
221,1.2,1.3,1.0,1.4,1.4,1.6,1.2,0.5,1.5,2.8,0.9,0.8,1.1,1.2,0.8,1.3,1.1,1.3,0.6,0.4,1.3,2.1,0.7,1.0,0.7,1.6,4.0,1.2,1.1,0.4,0.2,0.4,0.5,0.4
222,1.2,1.3,1.4,1.5,1.2,1.3,1.1,0.6,1.1,2.9,0.8,0.7,1.1,1.1,1.0,1.2,1.2,1.1,0.7,0.5,1.3,1.8,0.7,0.8,0.7,1.9,2.6,1.8,1.4,0.4,0.3,0.4,0.5,0.4
223,1.2,1.3,1.2,1.3,1.4,1.7,1.1,0.6,1.6,2.5,0.9,0.8,1.0,1.3,1.1,1.4,1.4,2.0,0.7,0.5,1.5,1.9,0.7,0.7,0.7,1.9,2.9,1.7,0.9,0.4,0.3,0.5,0.5,0.5
224,1.2,1.3,0.9,1.4,1.4,1.6,1.2,0.5,1.4,2.9,0.8,0.7,1.0,1.3,0.9,1.4,1.5,1.3,0.7,0.5,1.1,1.9,0.6,0.9,0.5,1.6,3.2,1.4,1.7,0.4,0.4,0.4,0.4,0.5
225,1.3,1.5,1.3,1.6,1.6,1.4,1.1,0.4,1.7,2.9,0.9,0.8,1.0,1.4,1.2,1.4,1.5,1.2,0.7,0.4,1.6,2.1,0.7,0.9,0.7,2.1,3.1,1.9,1.3,0.5,0.4,0.5,0.4,0.5
226,1.2,1.3,1.0,1.5,1.4,1.4,1.1,0.4,1.6,3.5,0.9,0.9,0.9,1.3,1.0,1.4,1.5,1.2,0.5,0.3,1.1,1.9,0.7,0.8,0.7,1.5,3.4,1.1,0.6,0.5,0.9,0.5,0.4,0.5
227,1.2,1.3,1.0,1.5,1.4,1.3,1.2,0.4,2.0,3.2,0.8,0.8,0.8,1.1,0.8,1.2,1.3,1.1,0.5,0.3,1.0,2.0,0.7,0.8,0.6,1.8,3.5,1.5,0.7,0.4,0.4,0.4,0.4,0.5
228,1.3,1.4,1.5,1.4,1.5,1.5,1.2,0.6,2.4,3.3,0.9,0.8,1.0,1.2,0.7,1.3,1.5,1.7,0.6,0.4,1.1,2.2,0.6,0.7,0.6,2.0,4.5,1.5,1.4,0.4,0.4,0.4,0.4,0.4
229,1.2,1.3,1.0,1.4,1.4,1.6,1.2,0.4,1.5,2.3,1.0,0.9,1.1,1.2,0.7,1.3,1.3,1.0,0.6,0.6,0.8,1.9,0.7,0.5,0.7,1.8,3.7,1.5,1.9,0.4,0.4,0.4,0.4,0.4
230,1.3,1.4,1.9,1.2,1.5,1.6,1.3,0.5,0.9,2.7,1.0,1.0,1.1,1.6,0.8,1.8,1.9,1.1,0.7,0.6,1.2,1.9,0.7,0.6,0.7,1.8,2.6,1.7,1.3,0.4,0.3,0.4,0.3,0.5
231,8.6,10.0,10.4,15.1,10.3,4.7,3.1,0.9,5.5,8.5,5.5,5.4,5.8,7.5,4.0,9.1,6.9,6.6,2.7,1.2,6.9,5.9,6.4,8.5,6.0,31.9,25.4,33.1,15.3,1.0,0.4,1.1,1.2,1.0
232,8.1,9.4,9.8,14.1,9.7,4.5,3.0,0.9,5.2,8.1,5.2,5.1,5.5,7.1,3.8,8.6,6.5,6.2,2.6,1.2,6.5,5.6,6.0,8.0,5.6,29.8,23.9,30.9,14.4,1.0,0.4,1.0,1.1,1.0
233,7.6,8.8,9.1,13.2,9.1,4.2,2.8,0.8,4.9,7.7,4.9,4.8,5.1,6.6,3.5,8.0,6.1,5.9,2.4,1.1,6.0,5.3,5.6,7.4,5.3,27.8,22.3,28.8,13.4,0.9,0.4,1.0,1.1,0.9
234,7.1,8.2,8.5,12.2,8.5,4.0,2.7,0.8,4.5,7.2,4.6,4.5,4.8,6.2,3.3,7.5,5.8,5.5,2.3,1.1,5.6,5.0,5.2,6.9,4.9,25.7,20.8,26.6,12.5,0.9,0.4,0.9,1.0,0.9
235,6.5,7.6,7.9,11.3,7.8,3.7,2.6,0.8,4.2,6.8,4.2,4.2,4.5,5.8,3.0,7.0,5.4,5.1,2.1,1.0,5.2,4.7,4.9,6.4,4.6,23.6,19.3,24.4,11.5,0.8,0.4,0.9,0.9,0.8
236,6.0,7.0,7.3,10.3,7.2,3.5,2.4,0.7,3.9,6.4,3.9,3.9,4.2,5.3,2.8,6.5,5.0,4.8,2.0,1.0,4.7,4.4,4.5,5.8,4.2,21.6,17.8,22.3,10.6,0.8,0.4,0.8,0.9,0.8
237,5.5,6.4,6.6,9.4,6.6,3.3,2.3,0.7,3.6,6.0,3.6,3.6,3.8,4.9,2.6,5.9,4.6,4.4,1.8,0.9,4.3,4.1,4.1,5.3,3.8,19.5,16.2,20.1,9.6,0.7,0.4,0.7,0.8,0.7
238,5.0,5.8,6.0,8.4,6.0,3.0,2.2,0.7,3.3,5.6,3.3,3.3,3.5,4.5,2.3,5.4,4.2,4.0,1.7,0.9,3.9,3.8,3.7,4.8,3.5,17.4,14.7,17.9,8.7,0.7,0.4,0.7,0.7,0.7
239,4.5,5.2,5.4,7.5,5.4,2.8,2.0,0.6,2.9,5.1,3.0,2.9,3.2,4.0,2.1,4.9,3.9,3.7,1.5,0.8,3.4,3.5,3.3,4.2,3.1,15.4,13.2,15.8,7.7,0.6,0.3,0.6,0.7,0.6
240,4.0,4.6,4.8,6.5,4.8,2.5,1.9,0.6,2.6,4.7,2.7,2.6,2.9,3.6,1.8,4.4,3.5,3.3,1.4,0.8,3.0,3.2,2.9,3.7,2.8,13.3,11.7,13.6,6.8,0.6,0.3,0.6,0.6,0.6
241,3.5,4.0,4.1,5.6,4.2,2.3,1.8,0.6,2.3,4.3,2.4,2.3,2.5,3.2,1.6,3.8,3.1,2.9,1.2,0.7,2.6,2.9,2.5,3.2,2.4,11.2,10.1,11.4,5.8,0.5,0.3,0.5,0.5,0.5
242,3.0,3.4,3.5,4.6,3.6,2.1,1.6,0.5,2.0,3.9,2.1,2.0,2.2,2.7,1.4,3.3,2.7,2.6,1.1,0.7,2.1,2.6,2.1,2.6,2.0,9.2,8.6,9.3,4.9,0.5,0.3,0.4,0.5,0.5
243,2.4,2.8,2.9,3.7,2.9,1.8,1.5,0.5,1.7,3.5,1.7,1.7,1.9,2.3,1.1,2.8,2.3,2.2,0.9,0.6,1.7,2.3,1.8,2.1,1.7,7.1,7.1,7.1,3.9,0.4,0.3,0.4,0.4,0.4
244,1.9,2.2,2.3,2.7,2.3,1.6,1.4,0.5,1.3,3.0,1.4,1.4,1.6,1.9,0.9,2.3,2.0,1.8,0.8,0.6,1.3,2.0,1.4,1.6,1.3,5.0,5.6,4.9,3.0,0.4,0.3,0.3,0.3,0.4
245,1.4,1.6,1.6,1.8,1.7,1.3,1.2,0.4,1.0,2.6,1.1,1.1,1.2,1.4,0.6,1.7,1.6,1.5,0.6,0.5,0.8,1.7,1.0,1.0,1.0,3.0,4.0,2.8,2.0,0.3,0.3,0.3,0.3,0.3
246,0.9,1.0,1.0,0.8,1.1,1.1,1.1,0.4,0.7,2.2,0.8,0.8,0.9,1.0,0.4,1.2,1.2,1.1,0.5,0.5,0.4,1.4,0.6,0.5,0.6,0.9,2.5,0.6,1.1,0.3,0.3,0.2,0.2,0.3
247,0.9,1.1,0.9,0.9,1.2,1.3,1.3,0.4,1.1,1.7,0.8,0.8,1.0,1.0,0.6,1.0,1.1,1.0,0.6,0.5,0.7,2.0,0.3,0.5,0.2,1.1,2.4,0.9,1.4,0.4,0.3,0.4,0.4,0.3
248,0.9,1.0,1.5,0.8,1.0,1.2,1.0,0.3,1.1,2.0,0.8,0.7,1.0,1.0,0.6,1.2,0.8,1.0,0.5,0.4,0.9,1.4,0.5,0.7,0.4,1.5,2.5,1.3,0.9,0.3,0.3,0.3,0.3,0.3
249,1.0,1.1,0.8,1.1,1.0,1.4,1.4,0.5,0.5,1.6,0.9,0.8,1.1,0.8,0.6,0.8,1.1,1.7,0.5,0.4,0.7,1.8,0.6,0.6,0.6,1.3,2.5,1.1,1.0,0.4,0.3,0.4,0.4,0.4
250,0.9,1.0,0.9,0.8,1.0,1.2,1.0,0.6,1.0,1.7,0.8,0.7,0.9,0.9,0.7,0.9,1.1,1.1,0.4,0.3,0.6,1.4,0.5,0.5,0.5,1.2,3.2,0.9,0.9,0.4,0.3,0.4,0.3,0.4
251,0.9,1.0,0.8,1.1,1.0,1.1,1.1,0.5,0.8,2.0,0.8,0.6,1.0,0.9,0.6,0.9,1.1,1.1,0.3,0.2,0.6,1.5,0.6,0.6,0.6,1.3,3.4,1.0,1.1,0.3,0.2,0.4,0.4,0.3
252,0.9,1.0,1.0,1.0,1.1,1.1,1.1,0.5,0.8,1.9,0.8,0.7,1.1,0.7,0.5,0.7,0.7,1.3,0.4,0.4,0.6,1.6,0.8,0.6,0.9,1.1,3.0,0.8,1.1,0.3,0.6,0.3,0.3,0.3
253,1.0,1.1,1.2,0.9,1.1,1.1,1.3,0.5,1.0,1.7,1.0,0.9,1.0,0.9,0.6,0.9,1.1,2.1,0.4,0.3,0.6,1.5,0.7,0.7,0.7,1.3,3.4,1.0,0.9,0.4,0.3,0.4,0.3,0.4
254,0.9,1.0,1.1,1.0,1.0,1.2,1.1,0.3,0.7,1.8,0.8,0.7,0.9,0.8,0.5,0.8,1.0,0.4,0.5,0.4,0.6,1.8,0.6,0.8,0.6,1.4,2.4,1.2,0.8,0.4,0.3,0.4,0.4,0.4
255,0.9,1.0,0.4,0.9,1.3,1.5,1.1,0.3,0.6,1.6,0.8,0.6,1.1,0.9,0.6,0.9,1.0,0.6,0.4,0.3,0.7,1.8,0.6,0.6,0.6,1.1,2.3,0.9,1.0,0.4,0.2,0.4,0.4,0.4
256,0.9,1.0,0.8,0.8,1.1,1.5,1.4,0.4,0.6,1.7,0.8,0.7,1.1,0.9,0.7,0.8,1.1,0.9,0.4,0.2,0.8,1.4,0.6,0.5,0.6,1.3,3.5,1.0,1.2,0.3,0.2,0.3,0.3,0.3
257,1.0,1.1,1.1,0.9,1.1,1.4,1.5,0.4,0.9,1.6,0.7,0.6,1.0,1.0,1.0,0.9,1.1,0.9,0.6,0.6,0.7,1.8,0.7,0.8,0.7,1.3,3.2,1.0,1.3,0.3,0.3,0.3,0.3,0.4
258,1.0,1.1,0.7,1.0,1.1,1.6,1.7,0.4,0.6,2.1,0.8,0.6,1.1,0.8,1.0,0.6,1.0,1.0,0.6,0.5,0.8,1.8,0.6,0.6,0.6,1.4,3.9,1.0,1.1,0.4,0.2,0.4,0.3,0.5
259,1.0,1.1,0.8,0.8,1.2,1.9,1.2,0.3,0.7,2.0,0.8,0.6,1.1,1.0,0.9,0.9,1.3,1.2,0.3,0.1,0.7,1.5,0.7,0.7,0.7,1.4,3.8,1.0,1.1,0.3,0.2,0.3,0.2,0.4
260,1.0,1.2,1.0,1.0,1.5,1.3,1.1,0.4,0.9,1.5,0.9,0.7,1.2,1.2,0.9,1.3,1.3,1.8,0.6,0.5,0.9,1.8,0.6,0.6,0.5,1.4,3.5,1.1,1.1,0.4,0.3,0.4,0.4,0.5
261,0.9,1.0,0.9,0.9,1.2,1.1,1.3,0.3,1.1,2.5,0.7,0.6,0.9,1.1,0.8,1.0,1.4,1.1,0.6,0.6,0.6,1.4,0.6,0.8,0.6,0.9,2.7,0.6,0.8,0.4,0.4,0.4,0.3,0.5
262,1.0,1.1,1.7,0.8,1.1,1.3,1.1,0.4,0.7,2.1,0.8,0.6,1.1,0.9,0.7,0.8,1.4,1.6,0.6,0.5,0.9,1.8,0.6,0.9,0.5,1.3,2.5,1.1,1.1,0.3,0.2,0.3,0.3,0.4
263,0.9,1.1,0.8,0.9,1.2,1.5,1.2,0.4,0.9,1.8,0.9,0.8,1.0,0.9,0.8,0.6,1.5,1.3,1.1,1.1,0.8,1.5,0.6,0.6,0.5,1.3,3.0,1.0,1.0,0.3,0.2,0.3,0.2,0.4
264,1.0,1.1,1.1,1.0,1.1,1.3,1.1,0.3,0.8,2.0,0.9,0.8,1.0,1.0,1.0,0.9,1.3,1.5,0.5,0.4,0.9,1.5,0.6,0.9,0.5,1.3,2.2,1.2,0.8,0.4,0.4,0.4,0.3,0.6
265,1.2,1.4,1.4,1.3,1.4,1.4,1.7,0.3,0.6,1.8,0.9,0.7,1.2,1.6,1.0,1.0,3.3,1.7,0.7,0.3,1.8,2.3,0.6,0.9,0.6,1.4,2.5,1.2,1.1,0.4,0.2,0.5,0.4,0.6
266,1.0,1.1,0.8,1.1,1.2,1.4,1.2,0.4,1.1,2.0,0.9,0.7,1.2,1.1,0.9,1.0,1.5,1.4,0.4,0.3,0.7,1.7,0.6,1.0,0.6,1.1,2.7,0.8,1.1,0.4,0.2,0.4,0.4,0.4
267,1.2,1.3,1.5,1.2,1.3,1.3,1.3,0.4,1.7,3.6,0.9,0.8,1.2,1.0,0.6,1.0,1.5,1.4,0.6,0.6,0.7,1.8,0.7,0.8,0.7,1.6,3.6,1.2,1.1,0.4,0.2,0.4,0.4,0.4
268,1.1,1.2,1.3,1.0,1.2,1.7,1.1,0.4,1.2,2.7,0.9,0.8,1.2,1.2,1.1,1.2,1.4,0.9,0.4,0.4,0.6,1.8,0.7,0.6,0.7,1.2,2.6,1.0,1.1,0.4,0.2,0.5,0.4,0.5
269,1.0,1.1,0.7,1.0,1.2,1.4,1.3,0.4,1.1,1.8,1.1,1.0,1.3,1.3,0.8,1.5,1.3,1.3,0.5,0.4,0.6,1.2,0.6,0.5,0.6,1.3,2.5,1.1,0.5,0.4,0.3,0.4,0.4,0.5
270,1.1,1.2,1.3,1.1,1.1,1.5,1.4,0.5,1.5,1.6,0.9,0.8,1.1,1.1,0.5,1.1,1.5,0.9,0.4,0.3,0.6,1.8,0.7,0.8,0.7,1.4,2.2,1.3,1.6,0.4,0.3,0.4,0.3,0.4
271,1.1,1.2,1.4,1.1,1.1,1.3,1.4,0.4,1.2,2.1,1.0,0.9,1.3,1.0,0.7,1.0,1.4,1.5,0.5,0.4,0.7,1.8,0.7,0.7,0.7,1.4,2.3,1.2,1.0,0.4,0.2,0.4,0.3,0.6
272,1.1,1.2,0.9,1.2,1.2,1.7,1.4,0.4,1.1,2.0,1.0,0.9,1.3,1.0,0.5,1.0,1.6,0.8,0.5,0.4,0.8,1.7,0.8,0.8,0.8,1.5,3.0,1.2,1.4,0.4,0.2,0.4,0.5,0.3
273,1.0,1.1,1.3,0.8,1.2,1.5,1.2,0.4,1.4,1.9,1.0,0.9,1.3,0.9,1.0,0.9,1.1,0.8,0.6,0.4,1.3,1.6,0.7,0.7,0.7,1.5,3.0,1.3,0.9,0.3,0.3,0.3,0.3,0.3
274,1.0,1.2,1.0,1.0,1.5,1.2,1.1,0.3,1.0,2.1,1.0,0.9,1.2,0.9,0.9,0.7,1.4,0.6,0.7,0.6,1.2,1.7,0.8,0.8,0.7,1.5,2.3,1.3,1.1,0.4,0.3,0.4,0.4,0.3
275,1.0,1.1,1.1,0.8,1.2,1.5,1.3,0.4,1.0,2.2,0.8,0.7,1.0,1.1,1.0,0.9,1.4,0.9,0.7,0.5,1.0,1.4,0.7,0.6,0.7,1.3,2.6,1.1,1.0,0.4,0.3,0.4,0.4,0.4
276,1.0,1.2,0.9,1.2,1.2,1.4,1.3,0.3,0.8,2.0,0.8,0.7,1.0,1.0,0.7,0.9,1.6,0.9,0.5,0.4,0.7,1.9,0.7,0.5,0.7,1.4,3.0,1.1,1.0,0.4,0.3,0.4,0.4,0.5
277,1.1,1.2,1.4,1.0,1.3,1.5,1.1,0.3,1.1,2.3,1.0,0.8,1.3,1.0,0.8,0.9,1.3,0.7,0.8,0.5,1.6,2.3,0.6,0.6,0.6,1.3,3.3,1.0,0.7,0.3,0.2,0.3,0.3,0.4
278,1.1,1.2,0.9,1.1,1.5,1.2,1.3,0.4,0.9,2.4,0.9,0.8,1.1,1.0,0.8,0.9,1.3,0.9,0.5,0.4,0.8,1.8,0.7,0.3,0.7,1.8,5.1,1.2,0.7,0.4,0.2,0.4,0.3,0.5
279,1.0,1.1,1.1,1.2,1.2,1.1,1.2,0.4,1.2,2.2,1.0,0.9,1.0,0.9,0.6,1.0,1.1,1.1,0.6,0.3,1.3,1.5,0.7,0.8,0.6,1.7,4.1,1.3,0.8,0.4,0.2,0.4,0.5,0.3
280,1.0,1.1,1.1,1.0,1.2,1.3,1.3,0.6,0.8,1.9,1.0,1.0,1.1,1.0,0.8,0.9,1.4,0.9,0.8,0.7,1.2,1.5,0.8,0.9,0.8,1.4,2.7,1.2,0.6,0.4,0.2,0.4,0.3,0.4
281,1.1,1.2,1.2,1.0,1.3,1.6,1.3,0.7,1.1,1.9,0.9,0.8,1.0,1.0,0.9,0.9,1.5,1.1,0.8,0.6,1.2,1.7,0.7,0.9,0.6,1.6,2.8,1.3,1.0,0.4,0.2,0.4,0.4,0.4
282,0.9,1.0,1.0,0.8,1.2,1.3,1.4,0.4,1.2,1.7,0.9,0.9,1.0,1.1,0.8,1.1,1.5,1.2,0.5,0.4,0.9,1.5,0.5,0.9,0.5,1.0,2.2,0.8,0.9,0.3,0.2,0.4,0.4,0.3
283,1.1,1.2,1.3,1.3,1.0,1.5,1.2,0.5,0.9,2.1,0.8,0.7,0.9,1.3,0.8,1.5,1.6,1.3,0.8,0.7,1.1,1.6,0.7,0.9,0.7,1.4,2.6,1.1,1.6,0.4,0.2,0.4,0.3,0.5
284,1.1,1.2,1.3,1.1,1.2,1.4,1.5,0.4,1.0,2.1,0.8,0.6,1.0,1.1,0.9,0.9,1.6,1.6,0.9,0.7,1.5,2.0,0.7,0.7,0.6,1.3,2.6,1.0,1.1,0.4,0.2,0.4,0.4,0.4
285,1.2,1.3,1.6,1.2,1.4,1.2,1.2,0.4,0.9,2.1,1.2,1.1,1.3,1.0,0.8,0.8,1.7,1.3,0.6,0.4,1.0,2.3,0.7,1.0,0.7,1.5,3.4,1.1,1.2,0.3,0.2,0.3,0.4,0.3
286,1.1,1.3,1.8,1.2,1.2,1.2,1.3,0.4,1.5,1.9,0.9,0.6,1.3,1.3,0.7,1.3,1.7,1.2,0.7,0.6,1.0,1.9,0.7,0.7,0.7,1.6,3.2,1.3,1.0,0.3,0.2,0.4,0.4,0.3
287,1.1,1.2,1.2,1.3,1.3,1.1,1.2,0.4,1.2,1.7,1.0,0.8,1.3,1.2,0.8,1.1,1.5,1.3,0.5,0.3,1.2,1.9,0.7,0.7,0.7,1.8,2.7,1.6,0.9,0.3,0.2,0.4,0.4,0.3
288,1.1,1.2,1.1,1.1,1.3,1.2,1.3,0.5,1.9,1.7,0.9,0.7,1.1,1.3,0.6,1.2,2.2,0.9,0.6,0.5,1.0,1.5,0.7,0.7,0.7,1.6,3.0,1.3,0.9,0.4,0.2,0.4,0.5,0.3
289,1.1,1.2,0.7,1.3,1.3,1.2,1.3,0.5,0.6,1.8,1.0,1.0,1.1,1.2,0.8,1.1,1.9,1.0,0.4,0.5,0.2,1.7,0.7,0.6,0.7,1.4,2.7,1.2,1.2,0.3,0.1,0.4,0.4,0.3
