Date,Hires: Nondurable Goods Manufacturing
2000-12-01,233.0
2001-01-01,217.0
2001-02-01,166.0
2001-03-01,205.0
2001-04-01,200.0
2001-05-01,198.0
2001-06-01,192.0
2001-07-01,163.0
2001-08-01,173.0
2001-09-01,157.0
2001-10-01,176.0
2001-11-01,175.0
2001-12-01,180.0
2002-01-01,168.0
2002-02-01,164.0
2002-03-01,146.0
2002-04-01,177.0
2002-05-01,168.0
2002-06-01,169.0
2002-07-01,181.0
2002-08-01,152.0
2002-09-01,162.0
2002-10-01,152.0
2002-11-01,162.0
2002-12-01,152.0
2003-01-01,178.0
2003-02-01,153.0
2003-03-01,143.0
2003-04-01,131.0
2003-05-01,132.0
2003-06-01,132.0
2003-07-01,135.0
2003-08-01,140.0
2003-09-01,138.0
2003-10-01,145.0
2003-11-01,130.0
2003-12-01,132.0
2004-01-01,140.0
2004-02-01,142.0
2004-03-01,146.0
2004-04-01,163.0
2004-05-01,156.0
2004-06-01,126.0
2004-07-01,139.0
2004-08-01,143.0
2004-09-01,140.0
2004-10-01,132.0
2004-11-01,157.0
2004-12-01,136.0
2005-01-01,126.0
2005-02-01,124.0
2005-03-01,150.0
2005-04-01,135.0
2005-05-01,122.0
2005-06-01,135.0
2005-07-01,142.0
2005-08-01,150.0
2005-09-01,156.0
2005-10-01,143.0
2005-11-01,153.0
2005-12-01,141.0
2006-01-01,157.0
2006-02-01,161.0
2006-03-01,168.0
2006-04-01,136.0
2006-05-01,153.0
2006-06-01,155.0
2006-07-01,155.0
2006-08-01,155.0
2006-09-01,143.0
2006-10-01,145.0
2006-11-01,149.0
2006-12-01,158.0
2007-01-01,170.0
2007-02-01,159.0
2007-03-01,156.0
2007-04-01,146.0
2007-05-01,161.0
2007-06-01,156.0
2007-07-01,155.0
2007-08-01,152.0
2007-09-01,153.0
2007-10-01,164.0
2007-11-01,157.0
2007-12-01,167.0
2008-01-01,140.0
2008-02-01,142.0
2008-03-01,139.0
2008-04-01,147.0
2008-05-01,140.0
2008-06-01,139.0
2008-07-01,103.0
2008-08-01,111.0
2008-09-01,130.0
2008-10-01,122.0
2008-11-01,110.0
2008-12-01,102.0
2009-01-01,113.0
2009-02-01,112.0
2009-03-01,99.0
2009-04-01,92.0
2009-05-01,111.0
2009-06-01,105.0
2009-07-01,117.0
2009-08-01,116.0
2009-09-01,134.0
2009-10-01,117.0
2009-11-01,111.0
2009-12-01,108.0
2010-01-01,92.0
2010-02-01,116.0
2010-03-01,118.0
2010-04-01,117.0
2010-05-01,109.0
2010-06-01,116.0
2010-07-01,110.0
2010-08-01,116.0
2010-09-01,116.0
2010-10-01,116.0
2010-11-01,126.0
2010-12-01,119.0
2011-01-01,109.0
2011-02-01,107.0
2011-03-01,117.0
2011-04-01,118.0
2011-05-01,113.0
2011-06-01,106.0
2011-07-01,114.0
2011-08-01,115.0
2011-09-01,102.0
2011-10-01,100.0
2011-11-01,88.0
2011-12-01,112.0
2012-01-01,111.0
2012-02-01,112.0
2012-03-01,108.0
2012-04-01,107.0
