Date,Hires: Professional and Business Services
2024-01-01,1037.0
2024-02-01,1057.0
2024-03-01,1099.0
2024-04-01,1025.0
2024-05-01,1027.0
2024-06-01,927.0
2024-07-01,927.0
2024-08-01,1010.0
2024-09-01,1044.0
2024-10-01,968.0
2024-11-01,962.0
2024-12-01,935.0
2025-01-01,962.0
2025-02-01,1056.0
2025-03-01,1042.0
2025-04-01,1112.0
2025-05-01,1069.0
2025-06-01,1010.0
2025-07-01,1024.0
