Date,Hires: Manufacturing
2011-04-01,267.0
2011-05-01,270.0
2011-06-01,256.0
2011-07-01,257.0
2011-08-01,262.0
2011-09-01,245.0
2011-10-01,247.0
2011-11-01,227.0
2011-12-01,268.0
2012-01-01,267.0
2012-02-01,264.0
2012-03-01,277.0
2012-04-01,262.0
2012-05-01,253.0
2012-06-01,274.0
2012-07-01,248.0
2012-08-01,233.0
2012-09-01,229.0
2012-10-01,250.0
2012-11-01,247.0
2012-12-01,234.0
2013-01-01,247.0
2013-02-01,246.0
2013-03-01,221.0
2013-04-01,244.0
2013-05-01,275.0
2013-06-01,235.0
2013-07-01,235.0
2013-08-01,266.0
2013-09-01,261.0
2013-10-01,231.0
2013-11-01,259.0
2013-12-01,248.0
2014-01-01,243.0
2014-02-01,241.0
2014-03-01,257.0
2014-04-01,252.0
2014-05-01,251.0
2014-06-01,266.0
2014-07-01,267.0
2014-08-01,243.0
2014-09-01,288.0
2014-10-01,296.0
2014-11-01,263.0
2014-12-01,276.0
2015-01-01,255.0
2015-02-01,263.0
2015-03-01,267.0
2015-04-01,261.0
2015-05-01,257.0
2015-06-01,268.0
2015-07-01,266.0
2015-08-01,274.0
2015-09-01,291.0
2015-10-01,283.0
2015-11-01,271.0
2015-12-01,270.0
2016-01-01,281.0
2016-02-01,288.0
2016-03-01,258.0
2016-04-01,278.0
2016-05-01,270.0
2016-06-01,281.0
2016-07-01,280.0
2016-08-01,263.0
2016-09-01,282.0
2016-10-01,286.0
2016-11-01,287.0
2016-12-01,302.0
2017-01-01,309.0
2017-02-01,295.0
2017-03-01,322.0
2017-04-01,319.0
2017-05-01,337.0
2017-06-01,336.0
2017-07-01,330.0
2017-08-01,369.0
2017-09-01,329.0
2017-10-01,347.0
2017-11-01,343.0
2017-12-01,356.0
2018-01-01,366.0
2018-02-01,372.0
2018-03-01,358.0
2018-04-01,360.0
2018-05-01,370.0
2018-06-01,370.0
2018-07-01,383.0
2018-08-01,369.0
2018-09-01,331.0
2018-10-01,398.0
2018-11-01,367.0
